Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part1.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/NAPALM_MSCL_20131025_part1.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part1.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/NAPALM_MSCL_20131025_part1.raw,,5.52
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part2.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/NAPALM_MSCL_20131025_part2.raw,,5.51
NAPALM (Walker),Exclude,bkgnd_03L468.spc,.spc,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part1/bkgnd_03L468.spc,,7.07
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part2.cal,.cal,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/NAPALM_MSCL_20131025_part2.cal,,5.52
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part2.dat,.dat,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/NAPALM_MSCL_20131025_part2.dat,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part2.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/NAPALM_MSCL_20131025_part2.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part2.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part2/NAPALM_MSCL_20131025_part2.raw,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part3.cal,.cal,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/NAPALM_MSCL_20131025_part3.cal,,5.51
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part3.dat,.dat,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/NAPALM_MSCL_20131025_part3.dat,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part3.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/NAPALM_MSCL_20131025_part3.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131025_part3.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131025_part3/NAPALM_MSCL_20131025_part3.raw,,5.51
NAPALM (Walker),Exclude,NAPALM_MSCL_20131030_part4.cal,.cal,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/NAPALM_MSCL_20131030_part4.cal,,5.51
NAPALM (Walker),Exclude,NAPALM_MSCL_20131030_part4.dat,.dat,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/NAPALM_MSCL_20131030_part4.dat,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131030_part4.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/NAPALM_MSCL_20131030_part4.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131030_part4.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131030_part4/NAPALM_MSCL_20131030_part4.raw,,5.50
NAPALM (Walker),Exclude,NAPALM_MSCL_20131104_part5.cal,.cal,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/NAPALM_MSCL_20131104_part5.cal,,5.50
NAPALM (Walker),Exclude,NAPALM_MSCL_20131104_part5.dat,.dat,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/NAPALM_MSCL_20131104_part5.dat,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131104_part5.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/NAPALM_MSCL_20131104_part5.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131104_part5.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131104_part5/NAPALM_MSCL_20131104_part5.raw,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131106_part6.cal,.cal,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/NAPALM_MSCL_20131106_part6.cal,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131106_part6.dat,.dat,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/NAPALM_MSCL_20131106_part6.dat,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131106_part6.out,.out,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/NAPALM_MSCL_20131106_part6.out,,5.49
NAPALM (Walker),Exclude,NAPALM_MSCL_20131106_part6.raw,.raw,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/,NAPALM (Walker)/Geotek Data/whole-core data/NAPALM_MSCL_20131106_part6/NAPALM_MSCL_20131106_part6.raw,,5.49
NAPALM (Walker),ICD,NAPALM-WALK13-101A-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-101A-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-102A-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-102A-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-103A-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-103A-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-104A-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-104A-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-105A-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-105A-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-10A-1K-1-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-1-W-darker.jpg,,5.29
NAPALM (Walker),Exclude,NAPALM-WALK13-10A-1K-1-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-1-W.jpg,,5.29
NAPALM (Walker),ICD,NAPALM-WALK13-10A-1K-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.29
NAPALM (Walker),Exclude,NAPALM-WALK13-10A-1K-2-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-2-W-darker.jpg,,5.29
NAPALM (Walker),Exclude,NAPALM-WALK13-10A-1K-2-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-2-W.jpg,,5.29
NAPALM (Walker),ICD,NAPALM-WALK13-10A-1K-2.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10A-1K-2.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.29
NAPALM (Walker),ICD,NAPALM-WALK13-10B-1G-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-10B-1G-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-1-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-1-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-1.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-2-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-2-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-2.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-2.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-3-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-3-W-darker.jpg,,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-3-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-3-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-3.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-3.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-4-W-darker.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-4-W-darker.jpg,,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-11A-1K-4-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-4-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-11A-1K-4.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-11A-1K-4.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
