Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
CAHO,Exclude,CAHO_XYZ_20120606_part6.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.bk,,6.91
CAHO,Exclude,CAHO_XYZ_20120606_part6.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.csv,,6.91
CAHO,Exclude,CAHO_XYZ_20120606_part6.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.xml,,6.91
CAHO,Exclude,CAHO_XYZ_20120606_part7.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.bk,,6.91
CAHO,Exclude,CAHO_XYZ_20120606_part7.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.csv,,6.91
CAHO,Exclude,CAHO_XYZ_20120606_part7.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.xml,,6.91
CAHO,Exclude,CAHO12_MSCL.xls,.xls,CAHO/Geotek Data/whole-core data/,CAHO/Geotek Data/whole-core data/CAHO12_MSCL.xls,,6.89
CAHO,Exclude,CAHO_GRAS11_20110601_part1.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.cal,,7.93
CAHO,Exclude,CAHO_GRAS11_20110601_part1.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.dat,,7.93
CAHO,Exclude,CAHO_GRAS11_20110601_part1.out,.out,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.out,,7.93
CAHO,Exclude,CAHO_GRAS11_20110601_part1.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.raw,,7.93
CAHO,Exclude,CAHO_MSCL.xls,.xls,CAHO/Geotek Data/whole-core data/,CAHO/Geotek Data/whole-core data/CAHO_MSCL.xls,,7.93
CAHO,Exclude,CAHO_MSCL_20120605_part1.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.cal,,6.91
CAHO,Exclude,CAHO_MSCL_20120605_part1.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.dat,,6.89
CAHO,Exclude,CAHO_MSCL_20120605_part1.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.out,,6.89
CAHO,Exclude,CAHO_MSCL_20120605_part1.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.raw,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part2.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.cal,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part2.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.dat,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part2.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.raw,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part3.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.cal,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part3.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.dat,,6.89
CAHO,Exclude,CAHO_MSCL_20120606_part3.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.out,,6.89
CAHO,Exclude,CAHO_MSCL_20120606_part3.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part3/CAHO_MSCL_20120606_part3.raw,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part4.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.cal,,6.91
CAHO,Exclude,CAHO_MSCL_20120606_part4.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.dat,,6.89
CAHO,Exclude,CAHO_MSCL_20120606_part4.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.out,,6.89
CAHO,Exclude,CAHO_MSCL_20120606_part4.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part4/CAHO_MSCL_20120606_part4.raw,,6.91
CAHO,ICD,CAHO-GRAS11-1A-1L-1.pdf,.pdf,CAHO/ICD/,CAHO/ICD/CAHO-GRAS11-1A-1L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,7.93
CAHO,ICD,CAHO-GRAS11-1A-2L-1.pdf,.pdf,CAHO/ICD/,CAHO/ICD/CAHO-GRAS11-1A-2L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,7.93
