      8 Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
      1 3RPD,Exclude,1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm well rounded qtzfld 100Xcp.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif.eax,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif.cal.xml,,1.95
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 5 cm unidentified euhedra HUGE cp.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 5 cm unidentified euhedra HUGE cp.tif,,2.02
